关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,stock_code
000001,银行鏖战“双十一” 存量时代信用卡营销策略生变,例如，平安银行（000001.SZ）的“三省”策略，覆盖从消费到还款的整个周期，,2025-11-01 03:01:27,中国经营网,http://finance.eastmoney.com/a/202511013552250874.html,000001
600000,293股今日获机构买入评级 7股上涨空间超50%,浦发银行2-1.297.39银行300450先导智能2-1.3057.95电力设备300760迈瑞医疗2-0.7625.83,2025-10-31 22:49:34,证券时报网,http://finance.eastmoney.com/a/202510313552191755.html,600000
000002,万科第三季度亏损160亿元，第十次获深铁借款，22亿元！,10月30日，万科A（000002）公告称，公司第一大股东深圳市地铁集团有限公司（以下简称“深铁集团”）向公司提供不超过,2025-10-31 14:03:17,红星资本局,http://finance.eastmoney.com/a/202510313551789883.html,000002
000001,金价波动银行出新招：积存金起点金额启动“浮动”机制,同日，平安银行（000001.SZ）公告称，自2025年10月24日起，该行平安金积存业务按金额设定的定投计划起投金额由900,2025-10-31 12:59:33,中国经营报,http://finance.eastmoney.com/a/202510313551744071.html,000001
600000,浦发银行：2025年前三季度净利润388.19亿元 同比增长10.21%,中证智能财讯浦发银行（600000）10月31日披露2025年第三季度报告。,2025-10-31 12:28:06,中国证券报·中证网,http://finance.eastmoney.com/a/202510313551712154.html,600000
000002,万科前三季度营收1613.9亿元 再获深铁集团22亿元借款,10月30日，万科（000002.SZ）披露2025年三季报。前三季度，,2025-10-31 06:48:37,中国经营报,http://finance.eastmoney.com/a/202510313550990267.html,000002
000002,10月31日国内四大证券报纸、重要财经媒体头版头条内容精华摘要,10月30日，万科（000002.SZ）发布的三季报显示，第三季度实现营业收入560.7亿元，同比下降27.3%；归母净利润为,2025-10-31 06:03:19,东方财富研究中心,http://finance.eastmoney.com/a/202510313550971925.html,000002
000002,万科A：2025年前三季度实现营业总收入1613.88亿元,中证智能财讯万科A（000002）10月31日披露2025年第三季度报告。,2025-10-31 01:28:42,中国证券报·中证网,http://finance.eastmoney.com/a/202510313550905052.html,000002
000002,博汇纸业：2025年前三季度净利润1.21亿元,变动比例(百分点)山东博汇集团有限公司38549.728.83634不变宁波金嘉源纸业有限公司26736.8920.000002,2025-10-31 01:16:21,中国证券报·中证网,http://finance.eastmoney.com/a/202510313550897214.html,000002
000002,万科第三季度净利润亏损超160亿元 经营仍面临阶段性压力,10月30日，万科（000002.SZ）发布的三季报显示，第三季度实现营业收入560.7亿元，同比下降27.3%；归母净利润为,2025-10-31 00:21:11,第一财经,http://finance.eastmoney.com/a/202510303550771817.html,000002
000002,万科财报来了！再获22亿元借款,导读】万科再获深铁集团不超过22亿元借款10月30日晚间，万科A（000002.SZ）发布公告表示，经协商，万科第一大股东深圳市地铁集团有限公司,2025-10-30 23:20:48,中国基金报,http://finance.eastmoney.com/a/202510303550824419.html,000002
000002,万科业绩持续承压 前三季度营收同比降26.61%,财联社10月30日讯（记者王海春）10月30日晚间，万科A（000002.SZ）公布2025年三季报。,2025-10-30 23:12:31,财联社,http://finance.eastmoney.com/a/202510303550821329.html,000002
000002,这家公司董事长因涉嫌犯罪被批准逮捕 | 盘后公告集锦,【万科A：前三季度净亏损280.16亿元】万科A000002.SZ)发布2025年第三季度报告，前三季度实现营业收入,2025-10-30 23:12:00,财联社,http://finance.eastmoney.com/a/202510303550820793.html,000002
000002,000002 第10次获大股东输血！中央汇金持股不动,10月30日，万科A（000002）公告称，公司第一大股东深圳市地铁集团有限公司（以下简称“深铁集团”）向公司提供不超过,2025-10-30 22:27:27,上海证券报,http://finance.eastmoney.com/a/202510303550783697.html,000002
000002,万科：前三季度营收1613.9亿元 “经营仍面临阶段性压力”,10月30日，万科企业股份有限公司（000002.SZ）发布2025年三季度报告。,2025-10-30 22:22:53,澎湃新闻,http://finance.eastmoney.com/a/202510303550777814.html,000002
600000,浦发银行前三季度净利388.19亿元增10.21%，不良贷款率1.29%,浦发银行（600000.SH）10月30日晚间公布的三季报显示，前三季度，浦发银行实现营业收入1322.80亿元，同比增长,2025-10-30 21:25:58,澎湃新闻,http://finance.eastmoney.com/a/202510303550677724.html,600000
000002,万科A：深铁集团向公司提供不超过22亿元借款,人民财讯10月30日电，万科A00000210月30日公告，经协商，公司第一大股东深圳市地铁集团有限公司（简称“深铁集团,2025-10-30 20:26:23,人民财讯,http://finance.eastmoney.com/a/202510303550611195.html,000002
000002,万科A：第三季度净利润亏损160.69亿元,人民财讯10月30日电，万科A00000210月30日发布2025年三季报，公司第三季度营业收入560.65亿元，,2025-10-30 20:26:19,人民财讯,http://finance.eastmoney.com/a/202510303550611581.html,000002
600000,浦发银行：前三季度实现营收1322.80亿元，同比增1.88%,人民财讯10月30日电，浦发银行60000010月30日发布2025年三季报，前三季度集团实现营业收入1322.80,2025-10-30 20:08:40,人民财讯,http://finance.eastmoney.com/a/202510303550586536.html,600000
000002,万科A：深铁集团拟向公司提供不超过22亿元借款,万科A000002.SZ)公告称，公司第一大股东深铁集团拟向公司提供不超过22亿元借款，用于偿还公司在公开市场发行的债券本金与利息,2025-10-30 20:06:01,财联社,http://finance.eastmoney.com/a/202510303550585540.html,000002
000002,万科A：前三季度净亏损280.16亿元,万科A000002.SZ)发布2025年第三季度报告，前三季度实现营业收入1613.88亿元，同比下降26.61%；,2025-10-30 20:04:08,财联社,http://finance.eastmoney.com/a/202510303550584389.html,000002
000002,10月30日晚间沪深上市公司重大事项公告最新快递,万科A：第三季度净利润亏损160.69亿元万科A00000210月30日发布2025年三季报，公司第三季度营业收入,2025-10-30 19:32:21,东方财富Choice数据,http://finance.eastmoney.com/a/202510303550559226.html,000002
000001,华夏成长混合A：2025年第三季度利润7.78亿元 净值增长率31.05%,AI基金华夏成长混合A（000001）披露2025年三季报，第三季度基金利润7.78亿元，加权平均基金份额本期利润0.2667,2025-10-30 12:54:18,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549935445.html,000001
000002,恒润股份：2025年前三季度盈利6430.77万元 同比扭亏,股东名称持流通股数(万股)占总股本比例(%)变动比例(百分点)济宁城投控股集团有限公司12784.8829.000002不变承立新,2025-10-30 05:34:03,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549170097.html,000002
000001,天地科技：2025年前三季度净利润23.40亿元 同比增长7.55%,(百分点)中国煤炭科工集团有限公司229875.755.544464不变北京诚通金控投资有限公司20692.955.000001,2025-10-30 02:52:29,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549107816.html,000001
000002,至正股份：2025年前三季度实现营业总收入1.51亿元,股东名称持流通股数(万股)占总股本比例(%)变动比例(百分点)深圳市正信同创投资发展有限公司2012.4527.000002,2025-10-30 00:02:02,中国证券报·中证网,http://finance.eastmoney.com/a/202510303549050179.html,000002
000001,君逸数码：2025年前三季度净利润1714.34万元,股东名称持流通股数(万股)占总股本比例(%)变动比例(百分点)成都高新投资集团有限公司215612.5不变徐飞344.962.000001,2025-10-29 23:41:07,中国证券报·中证网,http://finance.eastmoney.com/a/202510293549033112.html,000001
000001,汇纳科技：2025年前三季度净利润同比减亏297.3万元,上海金石一号智能科技合伙企业(有限合伙)1201.149.999978新进上海宝金石一号智能科技合伙企业(有限合伙)600.575.000001,2025-10-29 22:57:03,中国证券报·中证网,http://finance.eastmoney.com/a/202510293549006390.html,000001
600000,A股高开高走放量上涨，沪指站上4000点：北证50大涨超8%，新能源概念股爆发,成都银行（601838）、浦发银行（600000）、厦门银行（601187）、江苏银行（600919）、青岛银行（002948,2025-10-29 15:29:01,澎湃新闻,http://finance.eastmoney.com/a/202510293548362058.html,600000
600000,500亿浦发转债终局：“白衣骑士”驰援扭转困局 转股率超99%,一场惊险的困局反转10月28日晚间，浦发银行（600000.SH）公告称，该行浦发转债自2020年5月4日起进入转股期,2025-10-29 01:57:58,界面新闻,http://finance.eastmoney.com/a/202510283547294873.html,600000
000001,中国平安前三季度净赚1328.56亿元，同比增11.5%,此前，平安银行（000001.SZ）披露的2025年三季报显示，今年前三季度，平安银行实现营业收入1006.68亿元，同比下降,2025-10-28 22:19:08,澎湃新闻,http://finance.eastmoney.com/a/202510283547319140.html,000001
000001,上市银行三季报密集披露：公允价值变动收益下降 资产质量持续改善,（SH601963，股价10.67元，市值370.74亿元）、平安银行（SZ000001，,2025-10-28 21:59:54,每日经济新闻,http://finance.eastmoney.com/a/202510283547291461.html,000001
000002,赛象科技：2025年前三季度净利润4968.47万元 同比增长7.61%,占总股本比例(%)变动比例(百分点)天津赛象创业投资有限责任公司1892332.148308不变张建浩2943.085.000002,2025-10-28 20:57:39,中国证券报·中证网,http://finance.eastmoney.com/a/202510283547230677.html,000002
600000,154股今日获机构买入评级 42股上涨空间超20%,械设备600050中国联通11.1014.68通信600000浦发银行,2025-10-27 17:32:31,证券时报网,http://finance.eastmoney.com/a/202510273545443618.html,600000
000002,房地产行业今日净流入资金450.74万元 首开股份等13股净流入资金超千万元,香江控股0.003.22705.23房地产行业资金流出榜代码简称今日涨跌幅（%）今日换手率（%）主力资金流量（万元）000002,2025-10-27 17:08:41,证券时报网,http://finance.eastmoney.com/a/202510273545418925.html,000002
000001,平安银行2025年三季报：深化转型 业绩稳健 推进高质量发展,平安银行（000001.SZ）10月24日向深圳证券交易所提交了2025年三季度业绩报告。,2025-10-27 14:13:02,理财周刊,http://finance.eastmoney.com/a/202510273545215938.html,000001
000001,平安银行三季报“出炉”：零售风险正出清 对公支撑规模增长,10月24日，平安银行（000001.SZ）公布2025年三季报。,2025-10-25 09:15:19,21世纪经济报道,http://finance.eastmoney.com/a/202510253544240723.html,000001
600000,海南自贸港跨境资管试点：六机构抢滩“新蓝海”,金”），2家销售机构为兴业银行（601166.SH）海口分行和浦发银行（600000.SH）海口分行。,2025-10-25 02:33:55,中国经营网,http://finance.eastmoney.com/a/202510253544034091.html,600000
000001,000620 收购存储芯片资产 一周暴涨超60%！,平安银行（000001）：第三季度营收为312.83亿元，同比下降9.2%；净利润为134.69亿元，同比下降2.8%。,2025-10-24 22:19:00,数据宝,http://finance.eastmoney.com/a/202510243543913480.html,000001
000001,Q3净利同比增超1400%！760亿固态电池概念股发布三季报|盘后公告集锦,【平安银行：第三季度净利润同比下降2.8% 1-9月本集团计息负债平均付息率1.73%】平安银行000001.SZ),2025-10-24 21:12:43,财联社,http://finance.eastmoney.com/a/202510243543872447.html,000001
000001,平安银行前三季度净利润383.39亿元，同比下降3.5%,10月24日，平安银行（000001.SZ）发布的2025年三季报显示，今年前三季度，平安银行实现营业收入1006.68,2025-10-24 20:49:30,澎湃新闻,http://finance.eastmoney.com/a/202510243543871156.html,000001
000001,平安银行：第三季度净利润同比下降2.8% 1~9月本集团计息负债平均付息率1.73%,每经AI快讯，10月24日，平安银行000001.SZ)公告称，第三季度营收为312.83亿元，同比下降9.2%；净利润为,2025-10-24 19:42:21,每日经济新闻,http://finance.eastmoney.com/a/202510243543830150.html,000001
000001,中行、工行、平安银行等提高积存金投资门槛 起购金额破千元,国银行（601988.SH）、工商银行（601398.SH）、平安银行（000001.SZ）和宁波银行（002142,2025-10-23 13:51:45,红星资本局,http://finance.eastmoney.com/a/202510233542237555.html,000001
600000,银行ETF指数(512730)涨近1%，大型银行盈利同比或将恢复正增长,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-10-22 10:13:04,界面新闻,http://finance.eastmoney.com/a/202510223540959794.html,600000
000001,银行ETF指数(512730)涨近1%，大型银行盈利同比或将恢复正增长,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-22 10:13:04,界面新闻,http://finance.eastmoney.com/a/202510223540959794.html,000001
000001,红利防御板块回归，银行ETF指数(512730)红盘向上，农业银行斩获12连阳,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-20 13:45:37,界面新闻,http://finance.eastmoney.com/a/202510203538646817.html,000001
600000,红利防御板块回归，银行ETF指数(512730)红盘向上，农业银行斩获12连阳,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-10-20 13:45:37,界面新闻,http://finance.eastmoney.com/a/202510203538646817.html,600000
600000,浦发银行：中国移动继续通过可转债转股形式增持股份,10月17日晚间，浦发银行（600000.SH）发布关于持股5%以上股东权益变动触及1%刻度的提示性公告称，截至2025年,2025-10-17 22:26:37,澎湃新闻,http://finance.eastmoney.com/a/202510173537551544.html,600000
000002,万科旗下公司起诉万达集团，为合同纠纷，11月3日开庭,海南万骏管理服务有限公司股东为深圳市盈达投资基金管理有限公司、珠海横琴万骏投资集团有限公司，两者分别持股70%、30%，两者均属万科（000002,2025-10-16 15:03:44,红星资本局,http://finance.eastmoney.com/a/202510163535981720.html,000002
600000,浦发银行500亿元转债进入转股倒计时 三大“白衣骑士”接踵而至,10月13日，浦发银行（600000.SH）发布公告称，收到中国移动通信集团广东有限公司通知，中国移动于当日将所持的5631,2025-10-16 08:20:56,华夏时报,http://finance.eastmoney.com/a/202510163535471327.html,600000
600000,转债到期在即，浦发银行获中国移动转股增持,浦发银行（600000.SH，股价13.17元，市值4191.86亿元）500亿元可转债将于10月27日到期。,2025-10-15 22:00:34,每日经济新闻,http://finance.eastmoney.com/a/202510153535108560.html,600000
600000,中国移动转股增持！浦发转债即将到期兑付，“白衣骑士”为何接踵而至？,10月13日晚间，浦发银行（600000.SH）公告， 中国移动通信集团广东有限公司（以下简称“中国移动”） 通过可转债转股,2025-10-14 22:08:02,界面新闻,http://finance.eastmoney.com/a/202510143533873079.html,600000
000002,万科换帅：辛杰辞任，黄力平接棒,10月13日早间，万科A（SZ000002，股价6.53元，市值779.1亿元）发布公告，公司召开董事会会议，选举黄力平为公司董事长,2025-10-14 21:40:36,每日经济新闻,http://finance.eastmoney.com/a/202510143533845626.html,000002
600000,保险股走强一度领涨A股，新华保险盘中涨超7%,10月13日浦发银行（600000.SH）大涨5.66%，另有多只银行股涨幅超3%，10月14日截至下午14时30分，银行板块整体涨幅亦达,2025-10-14 14:58:21,第一财经,http://finance.eastmoney.com/a/202510143533567282.html,600000
000001,银行ETF指数(512730)涨超2.1%，防御风格强势回归,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-14 14:43:33,界面新闻,http://finance.eastmoney.com/a/202510143533561118.html,000001
600000,银行ETF指数(512730)涨超2.1%，防御风格强势回归,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-10-14 14:43:33,界面新闻,http://finance.eastmoney.com/a/202510143533561118.html,600000
600000,浦发银行：中国移动可转债转股后持股比例增至18.18%,对于转换浦发银行A股可转债的理由和好处，中国移动表示，转换将允许广东移动以与市场交易价格可比的价格认购浦发银行之A股，同时有利于浦发银行补充其核心一级资本,2025-10-14 07:42:04,澎湃新闻,http://finance.eastmoney.com/a/202510143532889268.html,600000
600000,逆势涨超5%！银行股久违大涨，这次轮到谁了？,中证银行指数全天上涨0.75%，浦发银行（600000.SH）以5.66%涨幅成为当天的板块龙头，渝农商行（601077.,2025-10-13 19:51:42,第一财经,http://finance.eastmoney.com/a/202510133532523464.html,600000
600000,浦发银行：中国移动通过可转债转股增持公司股份 持股比例增至18.18%,每经AI快讯，10月13日，浦发银行600000.SH)公告称，公司收到中国移动通信集团广东有限公司通知，中国移动于,2025-10-13 19:50:53,每日经济新闻,http://finance.eastmoney.com/a/202510133532523089.html,600000
600000,A股低开回暖，沪指尾盘一度接近平盘：有色金属及银行走高，两市成交超2.3万亿元,银行股震荡走强，浦发银行（600000）涨超5%，渝农商行（601077）、南京银行（601009）等涨超3%，重庆银行,2025-10-13 16:00:57,澎湃新闻,http://finance.eastmoney.com/a/202510133532366826.html,600000
000001,银行ETF指数(512730)收涨近1%，避险情绪升温银行防御价值凸显,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-13 15:17:14,界面新闻,http://finance.eastmoney.com/a/202510133532322453.html,000001
600000,银行ETF指数(512730)收涨近1%，避险情绪升温银行防御价值凸显,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-10-13 15:17:14,界面新闻,http://finance.eastmoney.com/a/202510133532322453.html,600000
600000,银行板块开始拉升，重视中证A500红利低波ETF(561680)的均衡配置、防御型配置作用,成分股方面涨跌互现，浦发银行600000领涨5.74%，江苏银行(600919)上涨3.06%，农业银行(601288,2025-10-13 14:15:57,界面新闻,http://finance.eastmoney.com/a/202510133532283125.html,600000
600000,银行ETF指数(512730)逆市上涨，板块迎来资产质量改善机遇,288)、交通银行(601328)、江苏银行(600919)、浦发银行600000、,2025-10-13 11:40:08,界面新闻,http://finance.eastmoney.com/a/202510133532328525.html,600000
000001,银行ETF指数(512730)逆市上涨，板块迎来资产质量改善机遇,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-13 11:40:08,界面新闻,http://finance.eastmoney.com/a/202510133532328525.html,000001
600000,机构称市场风格或向防御性较强板块倾斜，国企红利ETF(159515)调整蓄势,成分股深物业A(000011)领涨4.73%，浦发银行600000、南京银行(601009)跟涨；鲁西化工(000830,2025-10-13 11:40:03,界面新闻,http://finance.eastmoney.com/a/202510133532328726.html,600000
600000,MaaS第一：火山引擎已夺半壁江山,信证券（002736.SZ）、招商银行（600036.SH）、浦发银行（600000.SH）等主流券商和基金公司及重要银行。,2025-10-12 13:34:54,财中社,http://finance.eastmoney.com/a/202510123531475336.html,600000
000001,助贷新规正式实施 部分银行合作名单“难产”,商银行（600036.SH）、兴业银行（601166.SH）、平安银行（000001.SZ）、华夏银行（600015,2025-10-11 02:59:04,中国经营网,http://finance.eastmoney.com/a/202510113531043981.html,000001
000001,发行规模突破4300亿元 绿色金融债爆发式增长,近期瑞丰银行（601528.SH）、平安银行（000001.SZ）等多家银行密集发行绿色金融债。,2025-10-11 02:59:00,中国经营网,http://finance.eastmoney.com/a/202510113531044063.html,000001
000001,百亿“不良”开拍 AMC青睐信用卡资产,此前，光大银行（601818.SH）、平安银行（000001.SZ）、浦发银行、江苏银行（600919.SH）、宁波银行（,2025-10-11 02:25:04,中国经营网,http://finance.eastmoney.com/a/202510113531043398.html,000001
000001,银行ETF指数(512730)红盘向上，板块长期改革红利逐步释放,328)、江苏银行(600919)、浦发银行(600000)、平安银行000001、,2025-10-10 10:30:22,界面新闻,http://finance.eastmoney.com/a/202510103530506754.html,000001
000001,平安银行：副行长方蔚豪任职资格核准,人民财讯6月26日电，平安银行0000016月26日晚间公告，近日，公司收到《国家金融监督管理总局关于方蔚豪平安银行副行长任职资格的批复,2025-06-26 18:29:03,人民财讯,http://finance.eastmoney.com/a/202506263441359678.html,000001
